epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11336.5,0.60363,0.35856,0.84398,0.06714,0.06519,0.07627,0.06252,0.62581,7.19736,0.84352,0.005842,0.005842,0.005842
44,11492.9,0.59925,0.35449,0.84317,0.06821,0.06659,0.07548,0.0622,0.62474,7.24158,0.84024,0.005743,0.005743,0.005743
45,11650.9,0.59795,0.35397,0.84419,0.06839,0.06659,0.0756,0.06208,0.62206,7.24694,0.84075,0.005644,0.005644,0.005644
46,11814,0.59536,0.35337,0.84342,0.06882,0.0666,0.07495,0.06183,0.61615,7.22637,0.83934,0.005545,0.005545,0.005545
47,11970.7,0.58857,0.34867,0.84164,0.06684,0.06518,0.07509,0.06208,0.61804,7.30954,0.8405,0.005446,0.005446,0.005446
48,12126.6,0.58553,0.34819,0.84035,0.068,0.06662,0.07486,0.06151,0.61579,7.39913,0.8396,0.005347,0.005347,0.005347
49,12283,0.58293,0.34688,0.83976,0.06661,0.06502,0.07506,0.06144,0.61605,7.43925,0.83855,0.005248,0.005248,0.005248
50,12439.4,0.5797,0.34265,0.83907,0.06631,0.0654,0.07471,0.0616,0.61207,7.45174,0.83723,0.005149,0.005149,0.005149
51,12595.4,0.57754,0.34194,0.83884,0.06853,0.06694,0.07417,0.06127,0.61044,7.49983,0.83693,0.00505,0.00505,0.00505
52,12751.1,0.57434,0.33932,0.83707,0.06711,0.06654,0.0745,0.06167,0.61113,7.5116,0.83724,0.004951,0.004951,0.004951
53,12906.4,0.57175,0.33849,0.83736,0.06583,0.06563,0.07478,0.06212,0.60832,7.48935,0.83813,0.004852,0.004852,0.004852
54,13062.4,0.56734,0.33443,0.83631,0.06604,0.06572,0.07509,0.06212,0.60442,7.4628,0.83647,0.004753,0.004753,0.004753
55,13218.6,0.57061,0.33576,0.8381,0.06624,0.06616,0.07514,0.06203,0.60237,7.4633,0.8357,0.004654,0.004654,0.004654
56,13374.8,0.5629,0.33074,0.83585,0.06652,0.06617,0.07505,0.06212,0.60227,7.48543,0.83403,0.004555,0.004555,0.004555
57,13530.2,0.56067,0.33086,0.83672,0.06653,0.0661,0.07504,0.0622,0.60125,7.49017,0.83257,0.004456,0.004456,0.004456
58,13685.7,0.55668,0.32703,0.83486,0.06677,0.0662,0.07482,0.06213,0.60039,7.52191,0.83189,0.004357,0.004357,0.004357
59,13841.3,0.55702,0.32727,0.83588,0.06704,0.06577,0.07483,0.06234,0.59737,7.54384,0.83088,0.004258,0.004258,0.004258
60,13997.4,0.54772,0.32291,0.83327,0.06695,0.06609,0.07469,0.0622,0.5953,7.55266,0.83047,0.004159,0.004159,0.004159
61,14153.5,0.5483,0.32352,0.83288,0.0672,0.06571,0.07414,0.06217,0.5926,7.58318,0.83002,0.00406,0.00406,0.00406
62,14313,0.54904,0.32291,0.83505,0.06709,0.06571,0.07455,0.06239,0.59138,7.59181,0.83014,0.003961,0.003961,0.003961
63,14474.6,0.54342,0.3213,0.83211,0.06719,0.06578,0.07441,0.06227,0.59005,7.60209,0.83057,0.003862,0.003862,0.003862
64,14635.9,0.54214,0.31764,0.83183,0.06712,0.0657,0.07416,0.062,0.58946,7.60735,0.83079,0.003763,0.003763,0.003763
65,14797.3,0.53895,0.31586,0.8314,0.0672,0.0657,0.07424,0.06211,0.58855,7.62773,0.83085,0.003664,0.003664,0.003664
66,14958.7,0.53709,0.31492,0.83118,0.06851,0.06653,0.07427,0.06206,0.58838,7.65632,0.8309,0.003565,0.003565,0.003565
67,15120,0.5314,0.31129,0.83046,0.06731,0.06576,0.07436,0.06202,0.58796,7.67889,0.83133,0.003466,0.003466,0.003466
68,15281.4,0.52918,0.31129,0.82924,0.06726,0.06578,0.07428,0.0622,0.58652,7.69007,0.83091,0.003367,0.003367,0.003367
69,15442.7,0.52741,0.30948,0.82993,0.0674,0.06579,0.07426,0.06216,0.58446,7.68806,0.83062,0.003268,0.003268,0.003268
70,15604.3,0.52444,0.30784,0.82853,0.06731,0.06579,0.07429,0.0621,0.58264,7.70011,0.83013,0.003169,0.003169,0.003169
71,15765.9,0.52378,0.30571,0.82929,0.06726,0.06571,0.07433,0.06219,0.58164,7.7173,0.82999,0.00307,0.00307,0.00307
